,X_WGS84,Y_WGS84,hescom
823,-122.417,38.875633,0
824,-122.415998,40.998395,0
825,-122.407769,45.536741,0
826,-122.38,58.28,0
827,-122.37745,47.809217,0
828,-122.37711,38.480826,0
829,-122.366274,42.138456,0
830,-122.356095,41.289881,0
831,-122.343009,47.164103,0
832,-122.34,57.27,0
833,-122.331667,41.495556,0
834,-122.301583,37.92044,0
835,-122.301565,47.405446,0
836,-122.3,73.83,0
837,-122.2855,51.747647,0
838,-122.28,52.35,0
839,-122.277481,51.409261,0
840,-122.27,55.6,0
841,-122.23,60.12,0
842,-122.22,61.19,0
843,-122.2081,44.0402,0
844,-122.19,63.7,0
845,-122.19,72.04,0
846,-122.186286,39.429608,0
847,-122.181667,40.276667,0
848,-122.15,65.07,0
849,-122.14,55.98,0
850,-122.138533,49.37745,0
851,-122.136854,38.476327,0
852,-122.133417,37.755629,0
853,-122.131944,41.865,0
854,-122.131107,38.16916,0
855,-122.120085,52.121841,0
856,-122.114005,37.380805,0
857,-122.08,59.66,0
858,-122.052427,36.973232,0
859,-122.049611,37.558063,0
860,-122.0489,44.2767,0
861,-122.04,66.06,0
862,-122.04,72.95,0
863,-122.03038,42.13195,0
864,-122.00902,41.239201,0
865,-122.008786,49.096772,0
866,-122,68.23,0
867,-121.999633,38.325198,0
868,-121.989526,38.623347,0
869,-121.979736,37.974507,0
870,-121.969167,39.538056,0
871,-121.94,50.69,0
872,-121.93335,36.61074,0
873,-121.93082,40.82112,0
874,-121.93,54.6,0
875,-121.928833,51.08197,0
876,-121.9118403,41.58392565,0
877,-121.9068,42.537,0
878,-121.89785,37.160417,0
879,-121.89314,36.33366,0
880,-121.8912,45.6431,0
881,-121.89,67.7,0
882,-121.88,51.4,0
883,-121.820556,39.205556,0
884,-121.813837,37.53168,0
885,-121.787812,38.523783,0
886,-121.7806,42.225,0
887,-121.75,49.19,0
888,-121.74,50.87,0
889,-121.73,62.56,0
890,-121.712032,39.83939,0
891,-121.692778,36.572778,0
892,-121.691389,39.603611,0
893,-121.66,69.11,0
894,-121.65,56.39,0
895,-121.6242,44.5596,0
896,-121.62395,40.78109,0
897,-121.61,36.29,0
898,-121.5890584,40.08733044,0
899,-121.585554,38.938754,0
900,-121.58,50.23,0
901,-121.56495,41.946267,0
902,-121.564,44.2983,0
903,-121.54,53.12,0
904,-121.5203,45.7056,0
905,-121.5132,37.5868,0
906,-121.51,66.82,0
907,-121.479003,51.222428,0
908,-121.473611,39.856944,0
909,-121.473451,39.458855,0
910,-121.4699,56.2131,0
911,-121.456795,41.110398,0
912,-121.446928,43.88523,0
913,-121.44,49.38,0
914,-121.43,65.53,0
915,-121.4098,49.56241,0
916,-121.405,42.1989,0
917,-121.4,50.88,0
918,-121.39,58.33,0
919,-121.38,55.96,0
920,-121.374722,40.418889,0
921,-121.3692,44.7309,0
922,-121.364794,38.056627,0
923,-121.362803,44.059066,0
924,-121.36,72.65,0
925,-121.34,50.42,0
926,-121.334498,50.623507,0
927,-121.328611,39.622222,0
928,-121.31448,36.73259,0
929,-121.311737,38.617461,0
930,-121.3076,45.1647,0
931,-121.291297,35.709868,0
932,-121.28,64.69,0
933,-121.25,51.47,0
934,-121.2452,39.363883,0
935,-121.24,67.96,0
936,-121.24,63.62,0
937,-121.232483,46.643457,0
938,-121.229906,45.789333,0
939,-121.225561,51.811554,0
940,-121.2,61.72,0
941,-121.2,72.15,0
942,-121.1775,45.5947,0
943,-121.169444,41.747222,0
944,-121.1283,44.6336,0
945,-121.12039,46.98493,0
946,-121.11624,36.51002,0
947,-121.115556,40.025608,0
948,-121.1028,50.25,0
949,-121.10138,44.41893,0
950,-121.09,47.75,0
951,-121.09,73.79,0
952,-121.0888,56.2344,0
953,-121.08,40.706389,0
954,-121.055615,38.903861,0
955,-121.05,59.47,0
956,-121.0475,35.6705,0
957,-121.03642,50.765003,0
958,-121.021303,55.126949,0
959,-121.0175,43.9248,0
960,-121.007,42.564,0
961,-120.9783,44.1989,0
962,-120.969259,42.372971,0
963,-120.94,52.51,0
964,-120.92,56.45,0
965,-120.899,49.54,0
966,-120.8751,41.4452,0
967,-120.8661,35.3133,0
968,-120.86,63.01,0
969,-120.8497,42.838,0
970,-120.84277,50.613897,0
971,-120.83982,36.27542,0
972,-120.829913,39.018327,0
973,-120.824668,45.516774,0
974,-120.821687,38.61815,0
975,-120.82,64.27,0
976,-120.81533,46.66595,0
977,-120.807652,47.12534,0
978,-120.777743,49.067363,0
979,-120.777403,50.106155,0
980,-120.760553,44.432767,0
981,-120.75,66.1,0
982,-120.75,57.65,0
983,-120.745492,40.973186,0
984,-120.71,68.72,0
985,-120.71,60.43,0
986,-120.7025,40.639444,0
987,-120.694781,35.687452,0
988,-120.688573,41.609792,0
989,-120.687422,46.871393,0
