,X_WGS84,Y_WGS84,helmax
890,-149.45,62.67,0
891,-149.43,63.87,0
892,-149.34,64.57,0
893,-149.34,65.87,0
894,-149.32,68.62,0
895,-149.23,67.63,0
896,-149.22,66.49,0
897,-149.21,67.10,0
898,-149.12,62.93,0
899,-149.11,69.45,0
900,-149.09,61.33,0
901,-148.96,65.35,0
902,-148.84,64.21,0
903,-148.82,69.27,0
904,-148.82,65.72,0
905,-148.75,68.23,0
906,-148.75,70.00,0
907,-148.75,67.38,0
908,-148.73,62.33,0
909,-148.67,63.11,0
910,-148.63,68.90,0
911,-148.62,62.36,0
912,-148.54,65.01,0
913,-148.54,63.55,0
914,-148.48,61.98,0
915,-148.46,66.29,0
916,-148.439042,61.788505,0
917,-148.42,67.13,0
918,-148.41,66.71,0
919,-148.37,61.50,0
920,-148.33,65.39,0
921,-148.32,65.94,0
922,-148.29,64.16,0
923,-148.27,64.88,0
924,-148.27,62.79,0
925,-148.26,69.50,0
926,-148.16,67.76,0
927,-148.01,63.20,0
928,-148.01,62.43,0
929,-147.99,67.34,0
930,-147.89,66.60,0
931,-147.89,68.15,0
932,-147.82,68.86,0
933,-147.78,69.50,0
934,-147.74,62.06,0
935,-147.73,65.08,0
936,-147.67,64.06,0
937,-147.65,62.94,0
938,-147.62,65.83,0
939,-147.60,68.59,0
940,-147.59,69.07,0
941,-147.48,65.18,0
942,-147.47,66.63,0
943,-147.46,62.63,0
944,-147.43,63.51,0
945,-147.39,66.19,0
946,-147.39,67.66,0
947,-147.23,64.42,0
948,-147.17,65.65,0
949,-147.13,64.31,0
950,-147.13,62.56,0
951,-147.08,67.21,0
952,-147.05,67.87,0
953,-147.01,65.22,0
954,-146.99,63.29,0
955,-146.98,69.62,0
956,-146.98,66.58,0
957,-146.94,61.95,0
958,-146.83,63.86,0
959,-146.81,68.18,0
960,-146.79,65.49,0
961,-146.68,67.68,0
962,-146.68,63.57,0
963,-146.64,64.76,0
964,-146.63,68,0
965,-146.60,67.21,0
966,-146.58,64.47,0
967,-146.56,69.35,0
968,-146.55,68.78,0
969,-146.55,66.15,0
970,-146.43,69.24,0
971,-146.42,65.40,0
972,-146.37,63.2,0
973,-146.37,61.53,0
974,-146.33,65.87,0
975,-146.28,65.96,0
976,-146.25,67.01,0
977,-146.21,68.27,0
978,-146.21,62.64,0
979,-146.19,68.66,0
980,-146.13,67.57,0
981,-146.09,65.26,0
982,-146.03,63.74,0
983,-145.92,62.04,0
984,-145.88,69.62,0
985,-145.88,65.01,0
986,-145.88,63.11,0
987,-145.79,67.78,0
988,-145.79,66.62,0
989,-145.75,65.81,0
990,-145.74,61.14,0
991,-145.65,68.68,0
992,-145.644103,64.148606,0
993,-145.58,66.94,0
994,-145.53,64.92,0
995,-145.50,68.06,0
