,X_WGS84,Y_WGS84,verstr
940,-131.16,57.9,0
941,-131.14,66.36,0
942,-130.87,57.15,0
943,-130.8,64.77,0
944,-130.76,61.3,0
945,-130.76,67.62,0
946,-130.72,68.38,0
947,-130.705506,58.179325,0
948,-130.68,60.39,0
949,-130.62,65.74,0
950,-130.57,62.37,0
951,-130.42,66.82,0
952,-129.88,60.43,0
953,-129.85,59.29,0
954,-129.69,64.54,0
955,-129.62,68.95,0
956,-129.59,57.51,0
957,-129.58,63.36,0
958,-129.54,65.53,0
959,-129.44,68.02,0
960,-129.068056,59.370536,0
961,-129.05,63.15,0
962,-129.01,66.71,0
963,-128.85,61.76,0
964,-128.82,56.01,0
965,-128.74,56.88,0
