,X_WGS84,Y_WGS84,liapun
912,-126.72,66.17,0
913,-126.61,56.77,0
914,-126.49,59.32,0
915,-126.46,62.44,0
916,-126.38,55.93,0
917,-126.38,60.39,0
918,-126.23,68.88,0
919,-126.15,67.05,0
920,-125.92,57.84,0
921,-125.904,49.164,0
922,-125.88,51.4,0
923,-125.81,64.31,0
924,-125.77,67.66,0
925,-125.75,54.05,0
926,-125.54,68.19,0
927,-125.5,62.25,0
928,-125.47,65.87,0
929,-125.43,66.97,0
930,-125.31,55.44,0
931,-125.28,59.62,0
932,-125.28,58.22,0
933,-125.24,60.77,0
934,-125.12,63.2,0
935,-125.04,56.75,0
936,-125.01,68.46,0
937,-124.93,64.38,0
938,-124.91,50.25,0
939,-124.89,72.38,0
940,-124.85,54.06,0
941,-124.67,66.52,0
942,-124.65,49.3,0
943,-124.63,62.1,0
944,-124.509,42.74,0
945,-124.426383,49.617527,0
946,-124.3867,42.2581,0
947,-124.26,54.46,0
948,-124.25,57.95,0
949,-124.161018,52.05067,0
950,-124.13,64.84,0
951,-124.13,60.23,0
952,-124.0678,42.5567,0
953,-124.06,68.5,0
954,-124.05469,49.6126,0
955,-123.98,63.28,0
956,-123.95,67.39,0
957,-123.94,49.17,0
958,-123.94,66.02,0
959,-123.8941,45.8196,0
960,-123.83,53.19,0
961,-123.8226,41.1542,0
962,-123.77485,42.337437,0
963,-123.75,56.2,0
964,-123.7386,43.907,0
965,-123.699952,42.646351,0
966,-123.683556,45.964163,0
967,-123.68,61.07,0
968,-123.663208,42.15712,0
969,-123.63,72.41,0
970,-123.583579,48.312983,0
971,-123.558045,40.787237,0
972,-123.5476,44.4985,0
973,-123.5344,42.3644,0
