,X_WGS84,Y_WGS84,echang
736,-122.945479,44.970021,0
737,-122.94504,38.648131,0
738,-122.9447,44.0927,0
739,-122.937575,42.332299,0
740,-122.882826,53.979374,0
741,-122.869458,45.849022,0
742,-122.856389,38.810278,0
743,-122.808024,47.046385,0
744,-122.80404,40.741751,0
745,-122.79,51.05,0
746,-122.78,49.23,0
747,-122.7697,41.310263,0
748,-122.743526,38.063216,0
749,-122.71187,41.094106,0
750,-122.711294,45.385892,0
751,-122.709717,39.311762,0
752,-122.703645,38.455809,0
753,-122.700409,42.203538,0
754,-122.697,44.1637,0
755,-122.666082,45.669056,0
756,-122.638332,41.45627,0
757,-122.6247,41.6788,0
758,-122.617224,42.031167,0
759,-122.61,68.23,0
760,-122.603508,38.242754,0
761,-122.59828,40.28876,0
762,-122.57,66.97,0
763,-122.556431,51.972451,0
764,-122.54,52.2,0
765,-122.53,68.96,0
766,-122.520337,47.306235,0
767,-122.506784,37.552116,0
768,-122.497531,48.757848,0
769,-122.49,52.98,0
770,-122.456262,37.792103,0
771,-122.42748,37.961266,0
772,-122.420833,39.0375,0
773,-122.415998,40.998395,0
774,-122.407769,45.536741,0
775,-122.38,58.28,0
776,-122.377895,47.630419,0
777,-122.37745,47.809217,0
778,-122.37711,38.480826,0
779,-122.366274,42.138456,0
780,-122.356095,41.289881,0
781,-122.343009,47.164103,0
782,-122.34,57.27,0
783,-122.331667,41.495556,0
784,-122.301565,47.405446,0
785,-122.3,73.83,0
786,-122.29792,37.46406,0
787,-122.2855,51.747647,0
788,-122.28,52.35,0
789,-122.277481,51.409261,0
790,-122.274444,38.898611,0
791,-122.274117,51.938961,0
792,-122.27,55.6,0
793,-122.23,60.12,0
794,-122.22,61.19,0
795,-122.2081,44.0402,0
796,-122.2,49.17,0
797,-122.19,72.04,0
798,-122.186286,39.429608,0
799,-122.181667,40.276667,0
800,-122.15,65.07,0
801,-122.14,55.98,0
802,-122.138533,49.37745,0
803,-122.136854,38.476327,0
804,-122.131944,41.865,0
805,-122.131107,38.16916,0
806,-122.130928,37.992058,0
807,-122.126153,37.818837,0
808,-122.120085,52.121841,0
809,-122.08,59.66,0
810,-122.052427,36.973232,0
811,-122.049611,37.558063,0
812,-122.0489,44.2767,0
813,-122.04,72.95,0
814,-122.03038,42.13195,0
815,-122.00902,41.239201,0
816,-122,68.23,0
817,-121.999633,38.325198,0
818,-121.989526,38.623347,0
819,-121.94,50.69,0
820,-121.93335,36.61074,0
821,-121.93082,40.82112,0
822,-121.93,54.6,0
823,-121.928833,51.08197,0
824,-121.9118403,41.58392565,0
825,-121.9068,42.537,0
826,-121.89785,37.160417,0
827,-121.897221,37.907557,0
828,-121.89314,36.33366,0
829,-121.8912,45.6431,0
830,-121.89,67.7,0
831,-121.88,51.4,0
832,-121.856667,39.539167,0
