,X_WGS84,Y_WGS84,symnov
579,-71.6806,43.75624,1
580,-84.399977,43.756902,1
581,-79.355979,43.765201,1
582,-83.94241,43.77209,1
583,-79.944237,43.773964,1
584,-73.112178,43.792487,1
585,-92.499267,43.797643,1
586,-73.317993,43.801938,1
587,-81.728072,43.804883,1
588,-72.210524,43.808262,1
589,-79.624572,43.814773,1
590,-79.193655,43.816997,1
591,-80.059666,43.82159,1
592,-91.225245,43.82264,1
593,-76.283902,43.85157,1
594,-78.963047,43.852074,1
595,-72.589604,43.852654,1
596,-79.446938,43.857205,1
597,-93.777827,43.869687,1
598,-88.949933,43.869738,1
599,-78.78171,43.871241,1
600,-88.021038,43.88457,1
601,-77.199356,43.898394,1
602,-77.056206,43.899667,1
603,-89.900627,43.92027,1
604,-79.916535,43.923786,1
605,-95.35047,43.927573,1
606,-78.899552,43.94505,1
607,-70.498216,43.951583,1
608,-73.011242,43.956737,1
609,-73.210169,43.959381,1
610,-88.905244,43.96435,1
611,-79.482382,43.965792,1
612,-103.51841,43.97124,1
613,-89.637471,43.983473,1
614,-75.185168,43.992138,1
615,-77.729063,43.992805,1
616,-79.672607,44.00615,1
617,-89.806688,44.00981,1
618,-96.322203,44.010225,1
619,-79.80199,44.011666,1
620,-78.141185,44.014908,1
621,-77.118959,44.027935,1
622,-78.276438,44.029858,1
623,-103.776228,44.034213,1
624,-92.506337,44.039363,1
625,-91.659393,44.041151,1
626,-79.942603,44.041817,1
627,-80.068711,44.046703,1
628,-81.565203,44.055003,1
629,-92.049518,44.056501,1
630,-93.116148,44.059162,1
631,-73.356124,44.069717,1
632,-77.695458,44.080194,1
633,-79.4722,44.090653,1
634,-79.341042,44.099717,1
635,-69.105351,44.103805,1
636,-77.997645,44.106274,1
637,-78.969261,44.118199,1
638,-75.114973,44.123164,1
639,-76.44978,44.123384,1
640,-78.455102,44.133993,1
641,-72.666798,44.13676,1
642,-72.891753,44.137336,1
643,-77.38,44.15,1
644,-72.471462,44.15574,1
645,-77.086464,44.15994,1
646,-79.982243,44.164816,1
647,-88.291761,44.169086,1
648,-103.756333,44.177081,1
649,-80.746803,44.18875,1
650,-78.202997,44.191265,1
651,-86.321812,44.206407,1
652,-76.614953,44.228437,1
653,-73.249817,44.229233,1
654,-79.096995,44.230105,1
655,-69.091567,44.231858,1
656,-104.2039,44.2385,1
657,-77.757775,44.239178,1
658,-69.575295,44.244204,1
659,-103.86898,44.24587,1
660,-78.593844,44.271701,1
661,-73.110591,44.271987,1
662,-77.344302,44.274628,1
663,-76.510867,44.280561,1
664,-78.855616,44.283646,1
665,-78.367673,44.284394,1
666,-88.379773,44.29091,1
667,-81.599699,44.297658,1
668,-88.547052,44.303402,1
669,-79.356204,44.30932,1
670,-80.076587,44.309832,1
671,-72.573065,44.310745,1
672,-92.26994,44.311991,1
673,-79.876447,44.327827,1
674,-72.751105,44.32935,1
675,-73.240079,44.331837,1
676,-69.176751,44.335401,1
677,-77.900272,44.335891,1
678,-103.905834,44.33688,1
679,-68.064353,44.337547,1
680,-78.739847,44.339554,1
681,-78.247554,44.340101,1
682,-93.106064,44.342137,1
683,-76.075914,44.35344,1
684,-77.106879,44.355493,1
685,-78.05843,44.368913,1
686,-68.259822,44.374863,1
687,-68.563666,44.37812,1
688,-78.373351,44.381617,1
689,-79.104857,44.382773,1
690,-76.297224,44.383395,1
691,-80.557826,44.392366,1
692,-92.101148,44.397792,1
693,-72.308163,44.404615,1
694,-79.784221,44.409513,1
695,-72.997282,44.414,1
696,-72.843604,44.419375,1
697,-93.95977,44.420538,1
698,-73.192933,44.42102,1
699,-81.461521,44.421825,1
700,-93.147914,44.436736,1
701,-78.93648,44.44709,1
702,-92.926834,44.451561,1
703,-69.395278,44.451862,1
704,-75.861214,44.453995,1
705,-78.126323,44.457735,1
706,-76.855012,44.45928,1
707,-80.176575,44.46748,1
708,-77.314396,44.471726,1
709,-78.297722,44.475467,1
710,-78.457953,44.479831,1
711,-76.031798,44.508951,1
712,-73.269625,44.509208,1
713,-79.724005,44.512658,1
714,-69.876202,44.519064,1
715,-92.560447,44.520742,1
716,-81.249801,44.522545,1
717,-77.213062,44.528837,1
718,-87.919425,44.529933,1
719,-76.457395,44.531052,1
720,-92.337703,44.535928,1
721,-93.886026,44.540765,1
722,-94.990327,44.543269,1
723,-72.397513,44.543697,1
724,-72.268171,44.545155,1
725,-80.457908,44.549858,1
726,-76.769569,44.554483,1
727,-86.170233,44.558512,1
728,-80.873167,44.56233,1
729,-78.341758,44.56255,1
730,-94.183627,44.564942,1
731,-73.129433,44.566057,1
732,-78.131478,44.570592,1
733,-72.940044,44.570651,1
734,-79.86567,44.578439,1
735,-69.631049,44.580107,1
736,-78.990034,44.590331,1
737,-78.685985,44.592729,1
738,-75.883564,44.595602,1
739,-80.721119,44.611851,1
740,-75.409554,44.612463,1
741,-78.851011,44.620158,1
742,-75.711666,44.621542,1
743,-77.465217,44.627322,1
744,-93.422463,44.631889,1
745,-63.589195,44.63511,1
746,-79.104661,44.642617,1
747,-79.421032,44.643625,1
748,-81.135352,44.665065,1
749,-73.346575,44.665305,1
750,-93.148797,44.668687,1
751,-85.737205,44.691338,1
752,-78.146636,44.69402,1
753,-63.741453,44.697273,1
754,-63.460822,44.702247,1
755,-73.14561,44.706822,1
756,-79.844231,44.728135,1
757,-68.727669,44.738286,1
758,-79.008207,44.741638,1
759,-65.50755,44.742898,1
760,-79.703981,44.7484,1
761,-92.936112,44.76452,1
762,-93.369003,44.768126,1
763,-76.25046,44.771386,1
764,-78.293778,44.777753,1
765,-93.126766,44.77835,1
766,-76.680048,44.781763,1
767,-93.507513,44.786883,1
768,-88.656553,44.788401,1
769,-81.208951,44.796321,1
770,-79.983975,44.846029,1
771,-92.622897,44.847003,1
772,-92.775046,44.854763,1
773,-68.73974,44.858388,1
774,-73.269772,44.869256,1
775,-93.295922,44.872525,1
776,-72.690784,44.893648,1
777,-93.163136,44.898259,1
778,-79.755058,44.898667,1
779,-93.617562,44.901072,1
780,-75.843801,44.906246,1
781,-79.357778,44.911224,1
782,-72.219174,44.91272,1
783,-92.94216,44.922802,1
784,-73.206117,44.954125,1
785,-67.045292,44.962646,1
786,-75.020547,44.969598,1
787,-93.320711,44.975772,1
788,-93.04929,44.979424,1
789,-93.184667,44.987591,1
