,X_WGS84,Y_WGS84,amocan
795,-145.42,62.56,0
796,-145.41,62.04,0
797,-145.26,61.34,0
798,-145.16,66.92,0
799,-145.15,66.72,0
800,-144.84,65.22,0
801,-144.84,64,0
802,-144.77,69.26,0
803,-144.69,65.87,0
804,-144.65,67.7,0
805,-144.65,63.05,0
806,-144.58,68.65,0
807,-144.33,61.52,0
808,-144.2,66.97,0
809,-144.12,63.89,0
810,-144.04,64.96,0
811,-143.89,60.73,0
812,-143.85,69.45,0
813,-143.78,67.05,0
814,-143.78,62.33,0
815,-143.4,67.7,0
816,-143.36,62.71,0
817,-143.32,61.68,0
818,-143.28,66.21,0
819,-143.28,64.84,0
820,-143.25,68.69,0
821,-143.17,69.45,0
822,-142.9,61.07,0
823,-142.9,63.93,0
824,-142.83,60.5,0
825,-142.83,62.25,0
826,-142.48,65.49,0
827,-142.47,61.5,0
828,-142.41,67.81,0
829,-142.24,69.04,0
830,-142.16,64.41,0
831,-142.14,66.78,0
832,-142.14,62.82,0
833,-142.03,63.66,0
834,-141.99,62.02,0
835,-141.95,60.69,0
836,-141.8,65.76,0
837,-141.57,66.97,0
838,-141.42,68,0
839,-141.34,69.11,0
840,-141.3,64.73,0
841,-141,62.3,0
842,-141,61.3,0
843,-141,63.2,0
844,-140.62,66.52,0
845,-140.43,67.73,0
846,-140.35,63.47,0
847,-140.35,62.25,0
848,-140.31,60.96,0
849,-140.2,64.57,0
850,-140.16,69.16,0
851,-140.16,65.37,0
852,-139.78,66.75,0
853,-139.74,62.4,0
854,-139.57,64.02,0
855,-139.42,61.37,0
856,-139.36,67.89,0
857,-139.29,68.84,0
858,-138.79,66.55,0
859,-138.75,65.11,0
860,-138.56,61.99,0
861,-138.52,68.23,0
862,-138.49,63.47,0
863,-138.44,61.17,0
864,-138.07,68.72,0
865,-138.03,65.34,0
866,-138.03,64.42,0
867,-137.88,68.08,0
868,-137.68,60.79,0
869,-137.61,66.84,0
870,-136.96,68.04,0
871,-136.88,62.59,0
872,-136.77,67.01,0
873,-136.58,65.07,0
874,-136.51,66.25,0
875,-136.48,60.79,0
876,-136.16,63.81,0
877,-136.12,61.9,0
878,-135.86,66.9,0
879,-135.71,60.86,0
880,-135.63,65.6,0
881,-135.6,59.27,0
882,-135.48,67.85,0
883,-135.34,60.87,0
884,-135.25,62.1,0
885,-135,63,0
886,-134.87,66.82,0
887,-134.72,67.81,0
888,-134.68,65.18,0
889,-134.64,65.95,0
890,-134.53,63.93,0
891,-134.49,68.5,0
892,-134.41,69.03,0
893,-133.77,61.45,0
894,-133.72,59.53,0
895,-133.69,68.31,0
896,-133.6,66.84,0
897,-133.54,67.43,0
898,-133.42,63.74,0
899,-133.35,62.24,0
900,-133.35,64.88,0
901,-133,66.44,0
902,-133,68.88,0
903,-132.62,60.54,0
904,-132.62,65.98,0
905,-132.59,59.93,0
906,-132.51,61.97,0
907,-132.51,67.85,0
908,-132.47,63.09,0
909,-132.39,58.48,0
