,X_WGS84,Y_WGS84,koemac
603,-95.14256,39.49444,1
604,-95.43694,37.24081,1
605,-110.72311,43.729952,1
606,-103.81373,43.97431,1
607,-95.28675,39.55967,1
608,-94.86212,38.3309,1
609,-103.103994,41.523169,1
610,-94.946561,38.624742,1
611,-105.607077,41.329751,1
612,-95.39949,38.02959,1
613,-94.64347,38.83241,1
614,-103.84806,44.73173,1
615,-95.201264,39.047567,1
616,-110.396156,43.853776,1
617,-99.9765,42.7701,1
618,-103.5173,44.07799,1
619,-103.3024,43.76519,1
620,-104.6039327,44.73846857,1
621,-103.5588477,44.29592735,1
622,-95.265664,38.181554,1
623,-96.210652,39.083565,1
624,-95.41313,38.50699,1
625,-96.527204,38.04677,1
626,-95.182796,37.255804,1
627,-95.687794,38.590665,1
628,-97.257649,37.61175,1
629,-95.665809,38.772893,1
630,-95.500508,39.19317,1
631,-95.156654,38.904932,1
632,-95.10145,37.03715,1
633,-96.41217,39.37353,1
634,-95.838322,37.788681,1
635,-95.69718,37.72421,1
636,-95.89986,39.66674,1
637,-95.4544,37.84109,1
638,-98.10968,39.52023,1
639,-98.25239,38.95986,1
640,-97.60988,39.75127,1
641,-98.05973,37.99218,1
642,-95.57336,37.42692,1
643,-96.23412,38.86026,1
644,-97.218317,37.459882,1
645,-96.46978,38.54512,1
646,-96.51011,38.69422,1
647,-96.73267,37.52178,1
648,-94.74577,38.02983,1
649,-97.52965,39.39417,1
650,-96.12355,37.24237,1
651,-97.72117,38.73812,1
652,-95.83084,39.40571,1
653,-95.65942,39.24995,1
654,-96.80483,38.85845,1
655,-95.07969,38.39535,1
656,-96.26137,37.58522,1
657,-97.02237,39.0016,1
658,-96.98679,37.11073,1
659,-96.74219,38.34815,1
660,-97.98125,39.82189,1
661,-96.99952,39.40179,1
662,-98.00574,37.75886,1
663,-96.09843,37.62164,1
664,-97.5863,38.56291,1
665,-96.5601,39.81041,1
666,-111.2414983,45.22812324,1
667,-113.857782,44.197215,1
668,-103.54223,43.67828,1
669,-117.177,45.2624,1
670,-117.9003,43.4647,1
671,-123.7386,43.907,1
672,-122.0489,44.2767,1
673,-119.0531,43.5864,1
674,-124.509,42.74,1
675,-121.5203,45.7056,1
