,X_WGS84,Y_WGS84,bougra
688,-157.75,70.21,0
689,-157.6,60.12,0
690,-157.52,65.07,0
691,-157.45,68.08,0
692,-157.33,61.38,0
693,-157.14,67.39,0
694,-157.1,65.83,0
695,-157.1,63.28,0
696,-157.07,69.22,0
697,-156.99,62.37,0
698,-156.91,66.78,0
699,-156.84,59.36,0
700,-156.84,57.42,0
701,-156.76,64.33,0
702,-156.65,60.27,0
703,-156.57,58.26,0
704,-156.53,61.19,0
705,-156.34,70.17,0
706,-156.34,63.97,0
707,-156.3,68.23,0
708,-156.3,67.28,0
709,-156.3,62.94,0
710,-156.27,58.9,0
711,-156.23,65.37,0
712,-156.15,68.84,0
713,-156.08,58.29,0
714,-156.06,59.85,0
715,-156,66.06,0
716,-155.85,62.4,0
717,-155.74,62.54,0
718,-155.66,61.74,0
719,-155.66,66.59,0
720,-155.58,63.24,0
721,-155.5,65.49,0
722,-155.43,67.51,0
723,-155.43,69.79,0
724,-155.39,64.38,0
725,-155.35,60.65,0
726,-155.25,60.23,0
727,-155.16,59.93,0
728,-154.97,58.64,0
729,-154.86,65.18,0
730,-154.86,62.21,0
731,-154.78,59.24,0
732,-154.78,69.11,0
733,-154.63,66.55,0
734,-154.63,63.43,0
735,-154.55,68.15,0
736,-154.48,61.57,0
737,-154.33,64.09,0
738,-154.25,69.98,0
739,-154.25,60.5,0
740,-154.17,67.31,0
741,-154.17,63.01,0
742,-153.91,68.92,0
743,-153.87,65.87,0
744,-153.79,64.77,0
745,-153.75,66.59,0
746,-153.71,62.33,0
747,-153.68,61.49,0
748,-153.52,60.62,0
749,-153.3,65.53,0
750,-153.26,63.36,0
751,-153.26,67.13,0
752,-153.22,68.53,0
753,-153.14,70.29,0
754,-152.95,61.53,0
755,-152.95,69.03,0
756,-152.8,67.85,0
757,-152.8,66.44,0
758,-152.72,62.52,0
759,-152.72,69.6,0
760,-152.65,66.86,0
761,-152.57,64.69,0
762,-152.57,61.07,0
763,-152.53,65.79,0
764,-152.42,63.43,0
765,-152.31,61.91,0
766,-152,69.14,0
767,-151.93,63.93,0
768,-151.89,61.26,0
769,-151.89,62.94,0
770,-151.85,65.22,0
771,-151.85,67.43,0
772,-151.85,66.75,0
773,-151.66,62.33,0
774,-151.47,68.34,0
775,-151.35,66.13,0
776,-151.28,69.75,0
777,-151.24,64.46,0
778,-151.192595,63.114803,0
779,-151.05,67.62,0
780,-151.01,61.68,0
781,-150.94,66.44,0
782,-150.86,66.82,0
783,-150.67,69.37,0
784,-150.63,62.86,0
785,-150.52,65.79,0
786,-150.48,68.61,0
787,-150.4,61.8,0
788,-150.17,64.23,0
789,-150.06,67.16,0
790,-150.02,65.15,0
791,-149.95,62.29,0
792,-149.87,69.45,0
793,-149.79,69.94,0
794,-149.64,68.99,0
795,-149.64,66.63,0
796,-149.6,63.47,0
797,-149.53,68.15,0
798,-149.49,61.83,0
799,-149.45,62.67,0
800,-149.34,64.57,0
801,-149.34,65.87,0
802,-149.23,67.63,0
803,-149.11,69.45,0
804,-148.73,62.33,0
805,-148.54,63.55,0
806,-148.46,66.29,0
807,-148.439042,61.788505,0
808,-148.42,67.13,0
809,-148.27,64.88,0
810,-148.27,62.79,0
811,-148.08,69.26,0
812,-147.89,68.15,0
813,-147.74,62.06,0
814,-147.62,65.83,0
815,-147.59,69.07,0
816,-147.47,66.63,0
817,-147.43,63.51,0
818,-147.39,67.66,0
819,-147.26,64.52,0
820,-147.13,64.31,0
821,-147.13,62.56,0
822,-146.94,61.95,0
823,-146.79,65.49,0
824,-146.63,68,0
825,-146.56,69.35,0
826,-146.37,63.2,0
827,-146.37,61.53,0
828,-146.33,65.87,0
829,-146.25,67.01,0
830,-146.155564,64.256775,0
831,-145.644103,64.148606,0
832,-145.53,64.92,0
833,-145.49,68.42,0
834,-145.42,63.47,0
835,-145.42,69.18,0
836,-145.42,65.76,0
837,-145.42,62.56,0
838,-145.347038,61.95071,0
839,-145.26,61.34,0
840,-145.156578,66.920676,0
841,-145.151818,66.7229,0
842,-144.84,65.22,0
843,-144.84,64,0
844,-144.77,69.26,0
845,-144.69,65.87,0
846,-144.65,67.7,0
847,-144.65,63.05,0
848,-144.58,68.65,0
849,-144.332108,61.521197,0
850,-144.2,66.97,0
851,-144.12,63.89,0
852,-144.04,64.96,0
853,-143.89,60.73,0
854,-143.85,69.45,0
855,-143.78,67.05,0
856,-143.78,62.33,0
857,-143.4,67.7,0
858,-143.36,62.71,0
859,-143.32,61.68,0
860,-143.28,66.21,0
861,-143.28,64.84,0
862,-143.25,68.69,0
863,-143.17,69.45,0
864,-142.9,61.07,0
865,-142.9,63.93,0
866,-142.83,60.5,0
867,-142.83,62.25,0
868,-142.48,65.49,0
869,-142.47,61.5,0
870,-142.41,67.81,0
871,-142.35,68.09,0
872,-142.24,69.04,0
873,-142.16,64.41,0
874,-142.14,66.78,0
875,-142.14,62.82,0
876,-142.03,63.66,0
877,-141.99,62.02,0
878,-141.95,60.69,0
879,-141.8,65.76,0
880,-141.57,66.97,0
881,-141.42,68,0
882,-141.34,69.11,0
883,-141.3,64.73,0
884,-141,62.3,0
885,-141,61.3,0
886,-141,63.2,0
887,-140.62,66.52,0
888,-140.56,67.27,0
889,-140.43,67.73,0
890,-140.35,63.47,0
891,-140.35,62.25,0
892,-140.31,60.96,0
893,-140.2,64.57,0
894,-140.16,65.37,0
895,-140.15646,69.160935,0
896,-139.78,66.75,0
897,-139.74,62.4,0
898,-139.44,64.1,0
899,-139.36,67.89,0
900,-139.29,68.84,0
901,-139.130221,61.388277,0
902,-138.79,66.55,0
903,-138.75,65.11,0
904,-138.56,61.99,0
905,-138.535538,61.018719,0
906,-138.52,68.23,0
907,-138.49,63.47,0
908,-138.07,68.72,0
909,-138.03,65.34,0
910,-138.03,64.42,0
911,-137.88,68.08,0
912,-137.61,66.84,0
913,-137.519319,60.750653,0
914,-137.39,62.78,0
915,-137.06,60.37,0
916,-137.01197,61.38799,0
917,-136.96,68.04,0
918,-136.857467,62.598422,0
919,-136.77,67.01,0
920,-136.58,65.07,0
921,-136.51,66.25,0
922,-136.48,60.79,0
923,-136.16,63.81,0
924,-136.123352,61.898792,0
925,-135.86,66.9,0
926,-135.71134,60.857149,0
927,-135.63,65.6,0
928,-135.59903,59.271254,0
929,-135.48,67.85,0
930,-135.337053,60.871506,0
931,-135.25,62.1,0
932,-135.026225,60.661583,0
933,-135,63,0
934,-134.884943,60.106654,0
935,-134.87,66.82,0
936,-134.72,67.81,0
937,-134.68,65.18,0
938,-134.64,65.95,0
939,-134.53,63.93,0
940,-134.49,68.5,0
941,-134.41,69.03,0
942,-133.77,61.45,0
943,-133.72,59.53,0
944,-133.69,68.31,0
945,-133.6,66.84,0
946,-133.54,67.43,0
