,X_WGS84,Y_WGS84,geutri
629,-109.3265,33.6356,1
630,-109.52453,33.952007,1
631,-111.8068,38.549,1
632,-109.777324,34.140878,1
633,-117.7586,46.1719,1
634,-106.851276,36.067366,1
635,-106.49164,35.96456,1
636,-107.282021,36.975828,1
637,-93.382271,44.967186,1
638,-93.370895,44.842794,1
639,-113.48532,53.33117,1
640,-91.894906,44.902107,1
641,-95.801232,45.570433,1
642,-114.118252,46.840669,1
643,-105.196495,51.434962,1
644,-107.103825,37.275036,1
645,-110.553026,44.754214,1
646,-107.202012,44.398577,1
647,-106.085289,39.610333,1
648,-120.580101,47.469961,1
649,-123.524696,47.983316,1
650,-117.51413,47.402061,1
651,-98.718437,47.816558,1
652,-97.514732,50.296298,1
653,-96.121101,46.799346,1
654,-96.294754,44.233642,1
655,-89.059091,42.990851,1
656,-114.29103,50.554421,1
657,-108.966426,53.386462,1
658,-104.905689,50.768118,1
659,-113.930762,43.746591,1
660,-113.055306,49.187274,1
661,-96.150498,46.946358,1
662,-119.675535,49.114218,1
663,-92.427003,44.861915,1
664,-102.114269,50.530419,1
665,-90.192073,44.070927,1
666,-89.816236,43.188215,1
667,-88.624438,44.139069,1
668,-92.64395,45.42374,1
669,-88.438295,43.016632,1
670,-81.769699,46.02781,1
671,-105.717487,50.75105,1
672,-103.875818,43.813393,1
673,-96.47698,46.85558,1
674,-96.407347,46.974435,1
675,-111.951333,50.881433,1
676,-116.076821,46.019373,1
677,-95.242926,43.407515,1
678,-106.972705,40.810292,1
679,-113.688259,46.400702,1
680,-97.2698,49.8892,1
681,-114.589057,44.135194,1
682,-108.218885,39.033113,1
683,-119.05319,48.851742,1
684,-119.966154,38.938315,1
685,-112.390371,42.759776,1
686,-118.506006,45.598643,1
687,-113.719915,49.160679,1
688,-112.271391,54.135843,1
689,-95.282031,45.440769,1
690,-111.4964,38.1606,1
691,-104.714981,44.589001,1
692,-111.5652,53.101817,1
693,-111.5195,53.0057,1
694,-111.546471,52.379405,1
695,-116.450142,52.011578,1
696,-120.803,42.7098,1
697,-117.2609,45.8312,1
698,-120.3485,44.3914,1
699,-118.329,45.0781,1
700,-100.9759036,47.46245741,1
701,-109.784188,43.259837,1
702,-106.148342,45.569166,1
703,-111.0439203,45.74674174,1
704,-96.77267,43.98115,1
705,-98.03342355,46.5068625,1
706,-116.408508,42.696246,1
707,-106.574939,41.260827,1
708,-103.5837,43.669386,1
709,-103.59381,43.57776,1
710,-92.397849,42.757006,1
711,-103.89949,44.31506,1
712,-103.8338,44.06845,1
713,-103.81373,43.97431,1
714,-104.768854,44.375588,1
715,-103.72211,43.82313,1
716,-104.1402429,44.14226536,1
717,-110.56418,43.883077,1
718,-120.397,44.4832,1
719,-117.9174,43.4657,1
720,-118.4203,45.5067,1
721,-118.0867,45.3247,1
